PROV_ID,YEAR,WEEK,EVA71,CVA16,OTHER
11,2009,1,5,8,0
11,2009,2,4,6,0
11,2009,3,3,5,0
11,2009,4,2,3,0
11,2009,5,8,0,0
11,2009,6,12,0,0
11,2009,7,26,0,0
11,2009,8,56,0,0
11,2009,9,21,31,2
11,2009,10,32,47,4
11,2009,11,45,66,5
11,2009,12,80,119,10
11,2009,13,125,99,42
11,2009,14,187,149,64
11,2009,15,182,146,62
11,2009,16,203,162,69
11,2009,17,314,253,67
11,2009,18,319,256,68
11,2009,19,346,278,74
11,2009,20,380,305,81
11,2009,21,389,347,92
11,2009,22,333,298,79
11,2009,23,312,279,73
11,2009,24,305,272,72
11,2009,25,334,291,148
11,2009,26,341,297,151
11,2009,27,313,273,139
11,2009,28,276,240,122
11,2009,29,299,226,77
11,2009,30,313,236,81
11,2009,31,276,208,71
11,2009,32,251,189,65
11,2009,33,197,263,85
11,2009,34,157,210,68
11,2009,35,142,189,61
11,2009,36,129,172,56
11,2009,37,139,218,55
11,2009,38,126,199,50
11,2009,39,122,192,48
11,2009,40,94,147,37
11,2009,41,116,90,26
11,2009,42,95,73,21
11,2009,43,118,92,27
11,2009,44,106,82,24
11,2009,45,71,166,71
11,2009,46,45,104,45
11,2009,47,40,94,40
11,2009,48,30,69,30
11,2009,49,33,110,17
11,2009,50,26,87,13
11,2009,51,19,65,10
11,2009,52,14,48,7
11,2009,53,8,12,2
11,2010,1,4,5,1
11,2010,2,4,6,1
11,2010,3,4,6,1
11,2010,4,1,2,1
11,2010,5,1,3,2
11,2010,6,1,2,1
11,2010,7,1,3,1
11,2010,8,9,11,2
11,2010,9,18,22,3
11,2010,10,27,34,5
11,2010,11,40,49,7
11,2010,12,55,118,55
11,2010,13,67,145,67
11,2010,14,93,200,93
11,2010,15,157,340,157
11,2010,16,299,317,119
11,2010,17,400,424,159
11,2010,18,370,392,147
11,2010,19,518,549,206
11,2010,20,610,493,353
11,2010,21,643,519,372
11,2010,22,723,584,418
11,2010,23,723,584,418
11,2010,24,777,435,450
11,2010,25,778,435,451
11,2010,26,746,417,432
11,2010,27,615,344,356
11,2010,28,377,231,254
11,2010,29,379,232,255
11,2010,30,273,168,184
11,2010,31,201,123,135
11,2010,32,135,109,78
11,2010,33,126,102,73
11,2010,34,120,97,70
11,2010,35,101,81,58
11,2010,36,122,137,73
11,2010,37,110,123,65
11,2010,38,126,142,75
11,2010,39,96,108,57
11,2010,40,77,61,33
11,2010,41,61,48,26
11,2010,42,73,58,31
11,2010,43,89,71,38
11,2010,44,125,91,58
11,2010,45,99,72,46
11,2010,46,92,67,42
11,2010,47,76,55,35
11,2010,48,94,32,29
11,2010,49,72,24,22
11,2010,50,45,15,14
11,2010,51,33,11,10
11,2010,52,8,14,7
11,2011,1,6,9,5
11,2011,2,4,6,3
11,2011,3,3,5,3
11,2011,4,2,0,0
11,2011,5,2,0,1
11,2011,6,5,0,1
11,2011,7,5,0,1
11,2011,8,6,4,1
11,2011,9,8,5,2
11,2011,10,7,5,2
11,2011,11,12,8,3
11,2011,12,17,7,9
11,2011,13,24,10,12
11,2011,14,32,14,17
11,2011,15,39,17,20
11,2011,16,83,46,27
11,2011,17,114,64,37
11,2011,18,159,89,52
11,2011,19,229,129,75
11,2011,20,284,176,99
11,2011,21,349,216,122
11,2011,22,405,251,141
11,2011,23,445,275,155
11,2011,24,445,305,269
11,2011,25,512,350,309
11,2011,26,485,332,293
11,2011,27,471,322,285
11,2011,28,412,245,155
11,2011,29,381,227,143
11,2011,30,351,209,132
11,2011,31,326,194,122
11,2011,32,258,180,55
11,2011,33,245,171,53
11,2011,34,199,138,43
11,2011,35,186,129,40
11,2011,36,165,156,43
11,2011,37,172,163,45
11,2011,38,187,177,49
11,2011,39,164,155,43
11,2011,40,154,125,29
11,2011,41,128,104,24
11,2011,42,177,143,33
11,2011,43,208,168,39
11,2011,44,143,193,43
11,2011,45,181,244,54
11,2011,46,141,191,43
11,2011,47,143,193,43
11,2011,48,101,146,33
11,2011,49,79,114,26
11,2011,50,53,76,17
11,2011,51,50,73,17
11,2011,52,48,48,12
11,2012,1,29,29,7
11,2012,2,15,15,4
11,2012,3,11,11,3
11,2012,4,6,6,1
11,2012,5,12,13,3
11,2012,6,16,17,3
11,2012,7,16,17,3
11,2012,8,19,18,4
11,2012,9,21,20,4
11,2012,10,26,25,5
11,2012,11,33,31,7
11,2012,12,44,68,15
11,2012,13,48,75,16
11,2012,14,59,92,20
11,2012,15,66,102,22
11,2012,16,119,167,41
11,2012,17,179,250,62
11,2012,18,254,355,88
11,2012,19,340,475,118
11,2012,20,500,651,241
11,2012,21,607,791,293
11,2012,22,643,838,311
11,2012,23,697,908,337
11,2012,24,639,793,429
11,2012,25,614,761,411
11,2012,26,633,785,424
11,2012,27,665,825,446
11,2012,28,678,646,401
11,2012,29,475,452,280
11,2012,30,346,329,204
11,2012,31,273,260,161
11,2012,32,202,197,92
11,2012,33,160,155,73
11,2012,34,132,129,60
11,2012,35,97,94,44
11,2012,36,118,86,28
11,2012,37,124,90,29
11,2012,38,112,81,26
11,2012,39,91,66,21
11,2012,40,94,58,36
11,2012,41,75,46,29
11,2012,42,78,48,30
11,2012,43,80,49,31
11,2012,44,71,46,24
11,2012,45,77,50,26
11,2012,46,71,46,24
11,2012,47,58,38,19
11,2012,48,43,41,26
11,2012,49,28,27,17
11,2012,50,25,24,15
11,2012,51,21,20,12
11,2012,52,14,14,9
11,2013,1,7,8,1
11,2013,2,6,7,1
11,2013,3,5,6,1
11,2013,4,5,5,1
11,2013,5,5,4,1
11,2013,6,4,3,1
11,2013,7,4,3,1
11,2013,8,11,8,3
11,2013,9,8,6,11
11,2013,10,13,10,18
11,2013,11,18,14,25
11,2013,12,27,20,37
11,2013,13,54,36,79
11,2013,14,68,45,101
11,2013,15,87,57,128
11,2013,16,98,65,145
11,2013,17,116,52,241
11,2013,18,134,60,279
11,2013,19,164,74,341
11,2013,20,164,74,342
11,2013,21,241,101,386
11,2013,22,286,120,458
11,2013,23,330,139,529
11,2013,24,456,192,731
11,2013,25,425,184,641
11,2013,26,493,214,743
11,2013,27,629,273,948
11,2013,28,531,230,800
11,2013,29,377,273,611
11,2013,30,272,197,441
11,2013,31,209,151,338
11,2013,32,177,128,287
11,2013,33,135,89,196
11,2013,34,115,76,167
11,2013,35,81,54,118
11,2013,36,63,41,91
11,2013,37,48,65,73
11,2013,38,54,74,82
11,2013,39,51,70,78
11,2013,40,46,63,70
11,2013,41,53,60,54
11,2013,42,51,58,52
11,2013,43,52,59,53
11,2013,44,50,57,51
11,2013,45,49,69,73
11,2013,46,54,76,80
11,2013,47,45,63,67
11,2013,48,35,49,52
11,2013,49,36,38,27
11,2013,50,29,31,22
11,2013,51,22,24,17
11,2013,52,19,20,15
11,2013,53,4,5,3
12,2009,1,3,4,0
12,2009,2,4,6,0
12,2009,3,2,2,0
12,2009,4,1,2,0
12,2009,5,1,0,0
12,2009,6,6,0,0
12,2009,7,5,0,0
12,2009,8,8,0,0
12,2009,9,4,6,0
12,2009,10,7,10,1
12,2009,11,10,15,1
12,2009,12,16,23,2
12,2009,13,24,19,8
12,2009,14,35,28,12
12,2009,15,47,38,16
12,2009,16,71,57,24
12,2009,17,107,86,23
12,2009,18,106,85,23
12,2009,19,110,88,23
12,2009,20,112,90,24
12,2009,21,117,105,28
